,shop,1st,location
182,탑로또,4,경남 거제시 상동동 979-1 서원탑훼밀리마트 내
183,태안로또복권방,4,충남 태안군 태안읍 동문리 454-23번지
184,포시즌마전점,4,인천 서구 마전동 1011-1 검단2지구37블록1롯트
185,풍전슈퍼,4,경기 부천시 원미구 원미동 55-1번지
186,프로토베팅샵,4,부산 중구 광복동 27-6번지 4호
187,하늘과바다,4,인천 부평구 부개3동 67-9번지
188,하당복권방,4,전남 목포시 옥암동 998번지
189,한꿈복권방,4,울산 중구 남외동 486-5번지 베스트편의점내
190,한마음,4,서울 관악구 봉천동 32-2 봉천중앙시장라열4호
191,한아름매점,4,충남 홍성군 광천읍 광천리 173-6
192,행복미니슈퍼,4,경기 부천시 원미구 심곡동 351-3번지
193,행복복권방,4,경남 창원시 의창구 팔용동 106-10번지
194,행복슈퍼,4,서울 성북구 동소문동4가 115번지
195,행운복권,4,충북 제천시 의림동 24-10 1층
196,행운복권방,4,경기 의정부시 용현동 14번지
197,행운복권방,4,서울 도봉구 창동 134-36번지 우림빌딩106
198,행운을주는사람들,4,충북 충주시 연수동 923번지 1층 복권방
199,흥건슈퍼,4,전북 전주시 완산구 삼천3동 300-3 흥건슈퍼
200,407억당첨가판점,3,강원 춘천시 중앙로2가 27-1 국민은행앞 가판
201,ALWAYSMART,3,경기 고양시 일산동구 풍동 150번지
202,CU(거제해금강),3,경남 거제시 고현동 997-5번지
203,CU(광탄개나리점),3,경기 파주시 광탄면 신산리 358-10 화설프라자
204,CU(달동초이스점),3,울산 남구 달동 1309-1번지
205,CU(수유대로점),3,서울 강북구 수유동 724-3번지 두울빌딩
206,CU(제천역점),3,충북 제천시 화산동 208-1 1층 CU편의점
207,CU(횡성점),3,강원 횡성군 횡성읍 읍하리 115-11
208,GS25(고양주교점),3,경기 고양시 덕양구 주교동 568 1층 3호
209,GS25(구로제일점),3,서울 구로구 구로동 685-215번지 103호
210,GS25(진해제일점),3,경남 창원시 진해구 화천동 19-2번지
211,G마트,3,서울 영등포구 대림동 862-6번지
212,L-마트,3,경기 부천시 오정구 삼정동 364번지 부천테크노파크100-103
213,LG슈퍼,3,경기 광명시 철산동 163번지
214,Letsgo복권유통,3,전북 전주시 덕진구 인후동1가 904-1번지
215,SK@24시편의점,3,경기 파주시 야동동 589-10번지
216,Today,3,서울 광진구 구의동 546-4번지 테크노마트9층판매동24호
217,가로가판대,3,서울 관악구 신림동 1643-6
218,가로판매대,3,서울 종로구 교남동 46 육교에서 30m 떨어진 가판(협신빌딩앞 가판)
219,가로판매점,3,서울 중구 서소문동 53-6번지
220,가자복권천국,3,전남 목포시 상동 878-4번지
221,가판 창동역점,3,서울 도봉구 창동 3-3번지 창동역문화마당앞
222,가판14호,3,서울 중구 남창동 61-4번지
223,가판대,3,서울 도봉구 도봉동 30-1
224,가판점,3,서울 서초구 서초동 1602-2 가판
225,가판점,3,경기 부천시 심곡동 176-13번지 국민은행버스정류장 옆 가판
226,강일코사할인마트,3,서울 강동구 강일동 699 105호
227,건강마트,3,경기 하남시 신장동 315-2번지
228,경기상회,3,인천 남동구 만수동 1041-3 104호
229,경동플러스,3,부산 해운대구 좌제2동 1317번지 경동G-PLUS아파트상가103
230,경부선 하차장로또방,3,서울 서초구 반포4동 19-4 코너1호점 (하차장로또)
231,교통카드판매대,3,서울 송파구 가락동 80 공영주차장앞가판
232,구포라인점,3,부산 북구 구포동 700-165 1층(구.김태호피자)
233,굿타임,3,서울 서대문구 연희동 353-94번지
234,금집복권,3,광주 북구 신용동 752
235,기장슈퍼,3,부산 기장군 기장읍 동부리 162-20번지
236,노다지 노원역점 복권방,3,서울 노원구 상계동 340-1번지
237,노다지복권방,3,경기 오산시 오산동 371-1번지
238,노다지복권방서정지점,3,경기 평택시 서정동 335-27번지
239,다음정보텔레콤,3,경남 진주시 평거동 200-1 1층 2호
240,당첨희망복권점,3,경기 이천시 관고동 4-31 관고사거리
241,대광슈퍼,3,경기 군포시 산본동 1061-3 미성프라자106호
242,대동도기상사,3,경북 영천시 금노동 499-3번지
243,대림통상,3,울산 중구 태화동 426 일신아파트상가102호
244,대박,3,서울 강남구 신사동 528-4번지 화인빌딩1층훼미리마트
245,대박마트,3,충남 천안시 동남구 봉명동 494번지 봉명청솔아파트상가103호
246,대박복권,3,"경기 부천시 심곡본동 316-2 부천역사쇼핑몰 W6, 7-2호"
247,대박복권방,3,경기 양주시 광적면 가납리 728-8
248,대박찬스,3,광주 북구 오치동 776-7번지
249,대박찬스,3,경기 성남시 중원구 금광동 4460번지
250,대박찬스,3,경기 남양주시 진접읍 장현리 351-16번지 1층1호
251,대야지복권,3,광주 남구 주월동 961-24번지
252,대영당안경원,3,부산 동래구 수민동 232번지
253,대운복권,3,경기 성남시 중원구 성남동 4159번지
254,대흥당,3,전북 정읍시 시기동 431-2
255,덕성상회,3,서울 강서구 방화동 608-140
256,도소매복권방,3,전남 광양시 광영동 759-4번지
257,동남슈퍼,3,전북 부안군 부안읍 동중리 130-5
258,동명슈퍼,3,강원 속초시 동명동 458-6
259,동원슈퍼,3,광주 남구 월산동 1053-22번지
260,동행복권 시청점,3,전남 광양시 중마동 1317-5
261,둔포로또판매점,3,충남 아산시 둔포면 둔포리 479-1 둔포로또판매점
262,드림로또,3,대구 북구 구암동 815-14번지
263,따봉복권방,3,인천 부평구 부평동 889-5번지
264,또와식품,3,서울 강서구 염창동 264-8번지
265,럭키복권방,3,경기 수원시 영통구 이의동 1335 아이플렉스104호
266,로또,3,충남 홍성군 홍성읍 오관리 311-5
267,로또명당,3,경남 양산시 평산동 94-3 복권판매점
268,로또명당,3,경기 시흥시 포동 1-13번지 101호
269,로또명당해미점,3,충남 서산시 해미면 읍내리 295-4
270,로또복권,3,경북 김천시 대신동 462-24
271,로또복권방,3,경기 가평군 가평읍 읍내리 448-31층
272,로또복권방분평점,3,충북 청주시 서원구 분평동 1258번지
273,로또복권장항점,3,충남 서천군 장항읍 창선2리 633-2번지
274,로또암반수베팅샵,3,경기 남양주시 와부읍 덕소리 141-64번지
275,로또판매점,3,충북 음성군 대소면 태생리 533-1 비디오대여점
276,로또판매점,3,부산 사하구 괴정제3동 252
277,로또판매점(바이더웨이),3,부산 금정구 구서동 415-2번지세븐일레븐내
278,마리오슈퍼,3,경기 부천시 상동 535-1 1층 118호
279,명당편의점,3,광주 서구 동천동 635
280,명동열쇠,3,강원 춘천시 중앙로2가 11 신한은행춘천중앙지점옆 가판
281,명진슈퍼,3,경기 의왕시 고천동 295-26
282,바다로또방,3,경남 통영시 서호동 177-358번지
283,반딧불로또,3,전북 무주군 무주읍 읍내리 249-4번지
284,버블샵카페 고래의꿈,3,광주 광산구 운남동 776-3번지 운남주공아파트 상가108호
285,버스카드판매대,3,서울 관악구 신림동 1513-2
286,베스트원,3,전남 영광군 영광읍 남천리 309-11 1층
287,보경복권,3,울산 북구 효문동 836번지
288,보경식품,3,서울 강북구 미아동 207-2번지
289,복권,3,서울 관악구 봉천동 196-33
290,복권나라,3,충북 청주시 청원구 율량동 912
291,복권나라,3,서울 중구 회현동 18-1
292,복권나라,3,서울 성동구 용답동 14-1번지 1층
293,복권나라,3,인천 서구 석남동 586-2번지
294,복권마트,3,강원 홍천군 홍천읍 진리 83-2 1층
295,복권방,3,경기 하남시 신장동 427-169번지
296,복권사랑,3,경기 양주시 덕계동 462-2번지
297,복권왕국,3,충북 제천시 중앙로1가 77 지하145
298,복권전문점,3,대전 유성구 봉명동 568-4번지
299,복권천국방,3,서울 마포구 서교동 480-1번지 1층
300,복권천하 미스터잉크동해점,3,강원 동해시 597-18
301,봉황로또,3,전북 임실군 임실읍 이도리 36
302,불국사명당복권,3,경북 경주시 불국동 631-16
303,삼삼마트,3,경남 진주시 봉안동 27-3번지
304,삼성복권방,3,경기 동두천시 생연동 686-17번지
305,삼정그린환경,3,서울 강동구 성내동 428-5번지 오스카상가136호
306,삼호복권,3,서울 도봉구 쌍문동 96-43번지
307,새로나슈퍼,3,서울 강서구 화곡동 904-10번지
308,샘내로또판매,3,경기 양주시 산북동 333-13번지
309,선경로또,3,충북 제천시 188-1 1층
310,선봉로또,3,울산 남구 삼산동 1468-6번지 CU판매점 내
311,세류보석복권방,3,경기 수원시 권선구 세류동 1090-7
312,세븐일레븐 수완점,3,광주 광산구 수완동 1428 세븐일레븐내
313,세븐일레븐삼척삼원점,3,강원 삼척시 남양동 93-5
314,세종복권방,3,세종 용포리 90-25
315,소답시내버스매표소,3,경남 창원시 의창구 소답동 114-7번지 가판
316,송내매표소,3,경기 부천시 송내동 709-2번지 버스정류장
317,슈퍼복권나라,3,부산 사하구 하단제2동 870-268
318,승일유통,3,충북 청주시 흥덕구 봉명동 200-14번지
319,신간판,3,서울 중구 무교동 12-1번지
320,신명,3,서울 강서구 방화동 620-192번지
321,신문가판대,3,서울 성북구 보문동4가 4번지가판
322,썬마트,3,대전 서구 관저동 1109번지신선타워105호 GS25편의점
323,씨스페이스(범어사역점),3,부산 금정구 남산동 21-4번지
324,씨유 대전원내점,3,대전 유성구 원내동 228-8번지 CU편의점
325,씨유송도프라자,3,인천 연수구 송도동 2-6번지 송도프라자108호
326,아띠로또판매점,3,충남 천안시 서북구 두정동 1063110호(미니스톱)
327,아이지에이마트 오산무지개점,3,경기 오산시 중앙동 7
328,안성맞춤,3,경기 안성시 금산동 47
329,에버빌마트,3,경북 안동시 정하동 240-2번지
330,엔타임편의점(대승복권),3,부산 해운대구 좌동 1479-3세종월드프라자 137 엔타임편의점내
331,엘도라도복권점문점,3,서울 광진구 중곡동 124-65번지
332,예술로또,3,강원 영월군 영월읍 영흥리 945-43번지
333,오렌지25,3,경기 고양시 일산서구 일산동 555-1번지 양우에이스스타디움109
334,온천로또복권,3,충남 예산군 덕산면 사동리 15덕산온천관광호텔매점
335,올인로또복권,3,전북 전주시 완산구 효자동2가 203-5코끼리마트 상가 내
336,왕대박,3,경기 평택시 팽성읍 안정리 148-32 1층 우측
337,외동복권,3,경남 김해시 대동면 초정리 136-5 GS편의점 내
338,용두천하,3,광주 북구 양산동 254-114
339,용띠아지메 복권,3,경남 창원시 마산합포구 구산면 내포리 254-1 1층
340,욱일슈퍼,3,인천 부평구 일신동 110-5번지
341,운수대통가판점,3,서울 성동구 하왕십리동 966-14
342,운수대통복권방,3,부산 부산진구 전포제1동 339-33
343,울릉로또,3,경북 울릉군 울릉읍 도동리 317-1 1층 울릉로또&커피
344,원동슈퍼,3,충남 보령시 대천동 172-8번지
345,월드마트,3,충북 청주시 흥덕구 복대동 2405번지
346,월드컵,3,경기 수원시 팔달구 우만동 519-3
347,월드컵복권방,3,경기 광주시 경안동 57-12번지
348,윈마트,3,서울 송파구 석촌동 12번지
349,유방매표소,3,경기 용인시 처인구 유방동 310-10
350,율암25시편의점,3,경기 화성시 팔탄면 율암리 481-2
351,은미복권방,3,경기 부천시 원종동 232번지
352,이마트24 광안리굿-7,3,부산 수영구 광안제2동 158-64
353,이마트24구미황상점,3,경북 구미시 인의동 827-19번지
354,이삭,3,전남 목포시 옥암동 1274-3번지 남악프라자A동103호
355,이플러스,3,경기 수원시 영통구 153-14
356,인덕원가판점,3,경기 안양시 동안구 관양동 1488-5
357,인스토어편의점,3,경기 고양시 덕양구 화정동 969-1번지 새롬프라자1층 100호
358,일이오마켓,3,서울 서초구 방배동 454-20
359,잉크와복권방,3,충남 천안시 동남구 다가동 352-7번지
360,잘찍어로또방,3,경기 평택시 안중읍 안중리 272-5
361,장군슈퍼,3,경기 부천시 오정동 70-8번지
362,제일복권,3,경남 양산시 양주동 691-9 103호 복권판매점
363,제일슈퍼,3,인천 연수구 동춘동 937번지 제일상가112호
364,조례로또복권방,3,전남 순천시 조례동 1092-2번지 조례로또복권방
365,주공24시편의방,3,대전 동구 판암동 204번지 판암주공아파트2차상가
366,중구-가로가판대-37,3,서울 중구 남대문로3가 30-6번지
367,차부상회,3,경기 김포시 통진읍 서암리 717-6번지
368,찬스365,3,경기 양평군 양서면 양수리 562-6 1층
369,천국열쇠,3,광주 북구 운암동 1040-10번지
370,천복당,3,경기 오산시 원동 215-3번지
371,천사로또방,3,경기 남양주시 금곡동 159-66 1층 7호
372,천안역로또토토복권방,3,충남 천안시 동남구 대흥동 123-1번지 아시아마트내
373,천하명당,3,경기 화성시 남양읍 남양리 1267-5
374,천하명당복권방,3,경기 안성시 영동 428번지
375,천하명당초량점,3,부산 동구 초량제2동 377-7번지
376,천하제일복권명당연무점,3,충남 논산시 연무읍 안심리 1126-36번지
377,천하제일복권명당유성점,3,대전 유성구 구암동 609-9번지
378,청룡마트,3,충남 천안시 동남구 청수동 219-4번지 현대아파트상가B-102호
379,충남상회,3,인천 남구 숭의동 106-21번지
380,코리아마트(비산점),3,대구 서구 비산동 368-2번지
381,코리아슈퍼,3,경남 통영시 무전동 985-1 상가1층 103호
382,태양마트,3,대전 유성구 지족동 905-1번지 그랜드타운105호
383,태원정보통신,3,서울 중랑구 상봉제2동 88-75번지
384,태일이엔지,3,경기 수원시 권선구 권선동 1188 한양아파트상가 107호
385,터미널식품,3,경기 의정부시 금오동 369-5번지
386,토큰판매,3,경북 경산시 대동 168-1번지 토큰박스
387,풍향동복권나라,3,광주 북구 풍향동 581-19
388,프로피스,3,경기 구리시 교문동 764-14번지
389,하나마트(하남4번로),3,광주 광산구 장덕동 992-12번지 하나마트내
390,한경종합광고,3,서울 송파구 삼전동 28-8번지
391,한국인세계대박복권,3,인천 연수구 옥련동 285번지
392,해수로또,3,충북 청주시 상당구 금천동 185-12
393,해피+24시편의점,3,광주 북구 양산동 296번지
394,해피복권,3,경남 창원시 마산합포구 월영동 1층 CU편의점 내
395,행복공간,3,서울 강동구 성내동 292-30번지
396,행복한집,3,경기 오산시 원동 379-8번지
397,행운나라복권방,3,경기 안양시 만안구 석수동 785-14번지
398,행운로또복권,3,경기 오산시 오산동 876-2
399,행운복권방,3,충남 예산군 예산읍 궁평리 178-2번지
400,행운복권방,3,부산 중구 남포동5가 64-3번지
401,행운의집,3,서울 강동구 천호동 549-1
402,행운의집제1호점,3,경북 안동시 동부동 75-3번지
403,현대슈퍼,3,광주 서구 쌍촌동 970-24번지
404,현대할인마트,3,경기 이천시 신둔면 수광리 312-4
405,현아상회,3,부산 남구 용호제3동 371-13번지
406,형제상회,3,대전 서구 용문동 256-3번지
407,형제상회,3,서울 동대문구 용두동 127-38
408,호반할인마트,3,광주 광산구 도산동 1295-8번지
409,홈돌이로또복권,3,경기 김포시 감정동 692번지 삼성홈플러스2층
410,황금 슈퍼,3,경기 용인시 기흥구 상하동 483-1 어정프라자 103호
411,황금복권,3,강원 원주시 단계동 808 삼익상가 105호
